  78 05 33 16.7832 +39 30 18.267 Gaia DR3  190761285987954560 HD  36387                        HIP 26037   7.99          6.70        0.750 17.77 G0              1.025 5p  28 9 0.204 1.287 0.156 0.092 0.074 0.149 1.9e-03    3.1  9.8 2.12  37.63                   0 0
  79 19 32 59.3527 -01 00 18.133 Gaia DR3 4215059743009228544 HD 184114                                    8.00   8.13   6.79  0.550 0.713 17.31 G0V             1.066 5p  32 9 0.194 1.189 0.156 0.092 0.079 0.132 6.9e-03    2.7  9.2 2.15  37.13                   0 0
  80 12 53 54.1518 +06 45 47.929 Gaia DR3 3709422000670924416 HD 112099                        HIP 62942   8.01          6.15        1.046 36.59 K1V             0.793 5p  48 9 0.389 2.009 0.150 0.093 0.080 0.315 0.0e+00 9999.0  8.5 1.94  71.13                   2 0
  81 20 44 07.5669 -44 46 20.652 Gaia DR3 6675138322043510400 HD 197239                        HIP 102338  8.04   8.19   6.66  0.660 0.819 15.69 G5V             0.973 5p  36 9 0.211 1.358 0.152 0.092 0.076 0.168 2.0e-05    4.2 12.1 2.08  32.64                   0 0
  82 12 45 25.2022 +29 46 33.635 Gaia DR3 3963161216751499904 HD 110950                        HIP 62246   8.05   8.18   6.79  0.550 0.734 15.47 G2V             1.075 5p  36 9 0.141 1.219 0.154 0.092 0.074 0.128 6.1e-03    2.7 10.0 2.15  33.28                   0 0
  83 14 43 22.2200 +51 55 07.101 Gaia DR3 1605622057017876992 HD 129920                        HIP 71989   8.06   8.23   6.67  0.640 0.807 21.61 G2V             0.963 5p  43 9 0.302 1.631 0.152 0.091 0.078 0.235 0.0e+00    7.5 12.2 2.07  44.82                   0 0
  84 17 48 20.2367 +33 48 00.378 Gaia DR3 4607307836143102208 HD 162197                        HIP 87152   8.06   8.20   6.55  0.610 0.785 17.75 G0              1.023 5p  52 9 0.263 1.489 0.153 0.091 0.076 0.198 0.0e+00    6.3 13.0 2.12  37.57                   0 0
  85 07 46 16.8496 -59 48 31.745 Gaia DR3 5294069567720884480 HD  63608                        HIP 37923   8.07   8.23   6.41  0.830 0.971 29.62 K0IV-V(k)       0.837 5p  38 9 0.162 1.177 0.149 0.091 0.077 0.121 6.9e-03    2.7  4.2 1.98  58.61 WDS J07462-5949B  0 0
  86 08 55 20.5313 +70 47 31.483 Gaia DR3 1118916397393675648 HD  75632B                                   8.07   8.94         1.390 1.718 86.30 M1V             0.622 5p  53 9 0.380 2.200 0.144 0.092 0.075 0.332 0.0e+00 9999.0  3.2 1.79 154.71 WDS J08554+7048B  0 0
  87 02 22 00.8325 +04 44 49.597 Gaia DR3 2516606060975446528 HD  14651                        HIP 11028   8.08   8.25   6.50  0.760 0.909 25.55 G5V             0.868 5p  22 9 0.198 1.413 0.150 0.090 0.074 0.183 6.0e-05    4.0  7.5 2.00  51.18 WDS J02220+0445A  0 0
  88 07 57 03.6204 +01 30 48.092 Gaia DR3 3087804241394370816 HD  65080                        HIP 38853   8.08   8.23   6.78  0.590 0.744 18.28 G0V             1.025 5p  46 9 0.258 1.446 0.153 0.090 0.076 0.188 0.0e+00    5.5 12.0 2.12  38.70                   0 0
  89 02 12 42.7309 -53 44 37.517 Gaia DR3 4743692151804240896 HD  13808                        HIP 10301   8.12   8.38   6.25  0.852 1.059 35.53 K2V             0.785 5p  42 9 0.133 1.169 0.147 0.089 0.079 0.119 4.9e-03    2.8  3.3 1.94  68.82                   0 2
  90 23 49 01.2326 +03 10 52.208 Gaia DR3 2742801956727994880 HD 223374                        HIP 117463  8.13   8.41   6.17  0.900 1.120 39.89 K2.5V           0.762 5p  54 9 0.573 1.713 0.146 0.088 0.077 0.512 0.0e+00 9999.0 12.3 1.92  76.52                   0 0
  91 12 44 34.8077 +03 31 55.456 Gaia DR3 3703975672901804160 HD 110802                        HIP 62178   8.16   8.29   6.80  0.570 0.761 19.18 G1V             1.037 5p  58 9 0.281 1.552 0.150 0.087 0.078 0.211 0.0e+00    7.6 13.0 2.13  40.77                   3 0
  92 20 16 57.0185 +37 11 26.689 Gaia DR3 2060622130642471808 HD 228722                                    8.16          6.72        0.810 20.60 G0V             0.936 5p  45 9 0.242 1.369 0.148 0.087 0.074 0.161 1.0e-05    4.5  8.6 2.05  42.32                   0 0
  93 06 15 22.9789 -34 57 06.744 Gaia DR3 2885631678274507648 HD  43575                        HIP 29697   8.18   8.30   7.03  0.470 0.650 15.02 F5V             1.163 5p  45 9 0.171 1.313 0.152 0.086 0.076 0.153 5.0e-05    4.1 13.0 2.21  33.18                   0 0
  94 02 15 57.6913 -04 05 43.184 Gaia DR3 2492802561947033984 HD  13999                        HIP 10561   8.18   8.35   6.84  0.580 0.787 13.28 G5V             1.027 5p  20 9 0.170 1.244 0.148 0.086 0.077 0.144 5.4e-03    2.8 12.7 2.12  28.15                   0 0
  95 02 34 22.6511 -43 47 51.564 Gaia DR3 4946938113149426944 V* CC Eri                        HIP 11964   8.20   8.86   4.89  1.336 1.979 86.61 K7V             0.625 5p  53 9 0.377 2.261 0.142 0.087 0.077 0.326 0.0e+00 9999.0  3.2 1.80 155.51                   0 0
  96 13 54 07.2507 -01 57 56.722 Gaia DR3 3658650268847554048 HD 121218                        HIP 67875   8.21   8.33   7.04  0.520 0.689 14.54 F7V             1.106 5p  26 9 0.194 1.335 0.150 0.084 0.075 0.158 5.2e-04    3.5 13.4 2.17  31.58                   0 0
  97 15 12 30.4402 -35 55 08.988 Gaia DR3 6200121677915639168 HD 134702                        HIP 74417   8.21   8.35   6.84  0.660 0.806 20.21 G3V             0.963 5p  22 9 0.155 1.246 0.147 0.085 0.074 0.137 6.4e-03    2.7  7.6 2.07  41.90 WDS J15125-3555A  0 0
